n,time_microseconds
1,0
50001,0
100001,0
150001,0
200001,0
250001,1
300001,1
350001,1
400001,1
450001,1
500001,1
550001,1
600001,1
650001,1
700001,1
750001,1
800001,1
850001,1
900001,2
950001,2
