n,time_microseconds
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,1
15,2
16,4
17,6
18,10
19,16
20,26
21,43
22,74
23,121
24,182
25,295
26,476
27,774
28,1270
29,2067
30,3370
31,5395
32,8415
33,14046
34,23895
35,37486
