n,time_microseconds
1000,0
2000,1
3000,1
4000,2
5000,2
6000,3
7000,3
8000,4
9000,4
10000,5
11000,5
12000,6
13000,7
14000,7
15000,8
16000,8
17000,9
18000,9
19000,10
20000,10
21000,11
22000,11
23000,12
24000,12
25000,13
26000,16
27000,14
28000,15
29000,16
30000,16
31000,16
32000,17
33000,17
34000,18
35000,18
36000,19
37000,19
38000,20
39000,21
40000,21
41000,22
42000,22
43000,22
44000,23
45000,24
46000,24
47000,25
48000,25
49000,26
50000,26
