n,time_microseconds
1,0
5001,31
10001,64
15001,87
20001,129
25001,157
30001,201
35001,268
40001,292
45001,359
50001,372
55001,398
60001,426
65001,465
70001,562
75001,609
80001,619
85001,671
90001,720
95001,776
