n,time_microseconds
1,0
11,2
21,15
31,50
41,123
51,230
61,358
71,295
81,416
91,577
101,778
111,1064
121,1335
131,1700
141,1967
151,2376
161,2834
171,3367
181,4114
191,4522
201,5033
211,6191
221,6535
231,7548
241,8395
251,9534
261,10452
271,12469
281,13662
291,14651
301,16660
311,17948
321,19128
331,21077
341,22607
351,27122
361,28123
371,28862
381,31346
391,34206
401,36230
411,39524
421,42071
431,44953
441,48168
451,51660
461,54465
471,57875
481,61581
491,65880
