n,time_microseconds
1,0
101,15
201,45
301,106
401,88
501,145
601,215
701,270
801,455
901,460
1001,574
1101,757
1201,1072
1301,903
1401,1085
1501,1310
1601,1457
1701,1838
1801,1630
1901,1958
2001,2197
2101,2353
2201,2705
2301,3058
2401,3404
2501,3390
2601,3476
2701,3921
2801,4029
2901,4473
3001,4562
3101,4920
3201,5563
3301,5640
3401,5526
3501,5860
3601,6190
3701,6398
3801,6481
3901,6894
4001,7227
4101,7580
4201,8043
4301,8475
4401,9194
4501,8981
4601,9724
4701,10111
4801,10750
4901,11877
